RH_pct,Wind_Spd_mph,Wind_Direction_deg,Low_Cloud_Ht_ft,Med_Cloud_Ht_ft,High_Cloud_Ht_ft,Visibility_mi,Atm_Press_hPa,Sea_Lev_Press_hPa,Altimeter_hPa,LES_Snowfall,idx
66,9,340,3600,0,0,10,1001,1024.6,1024,0,396
72,6,320,3600,0,0,10,1000.6,1024.4,1023.7,0,397
69,7,340,2700,0,0,10,1000.3,0,1023.4,0,398
81,3,260,2500,0,0,10,1000.3,1024.2,1023.4,0,399
59,8,30,3500,0,0,10,1003,1026.9,1026.1,0,400
57,6,60,3500,0,0,10,1003,1026.9,1026.1,0,401
63,0,0,0,0,0,10,1003.6,1027.4,1026.8,0,402
78,0,0,0,0,0,10,1004,1027.8,1027.1,0,403
84,0,0,0,0,0,10,1004,1028.1,1027.1,0,404
88,0,0,0,0,0,10,1004,1027.9,1027.1,0,405
88,0,0,0,0,0,10,1004,1027.9,1027.1,0,406
81,3,160,0,0,0,10,1003.6,1027.5,1026.8,0,407
60,7,0,0,0,0,10,1001,1024.8,1024,0,408
53,11,180,0,0,0,10,1000,1023.6,1023,0,409
53,8,190,0,0,0,10,1000.6,1024.1,1023.7,0,410
49,10,190,0,0,0,10,1001,1024.6,1024,0,411
48,10,190,0,0,0,10,1000.6,1024.4,1023.7,0,412
50,9,210,0,0,0,10,1002,1025.5,1025.1,0,413
57,5,230,0,0,0,10,1002.6,1026.3,1025.7,0,414
61,3,190,0,0,0,10,1002.6,1026.4,1025.7,0,415
28,8,160,0,0,0,10,1000.6,1024,1023.7,0,416
